datatype;member;accesstype;rule;comment;origin
vnode;v_irflag;r;EMBSAME\(vnode.v_interlock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_irflag;w;EMBSAME\(vnode.v_interlock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_seqc;r;EMBSAME\(vnode.v_interlock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_seqc;w;EMBSAME\(vnode.v_interlock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_op;r;\(no locks held\);;sys/sys/vnode.h:98
vnode;v_op;w;\(no locks held\);;sys/sys/vnode.h:98
vnode;v_data;r;\(no locks held\);;sys/sys/vnode.h:98
vnode;v_data;w;\(no locks held\);;sys/sys/vnode.h:98
vnode;v_mount;r;\(no locks held\);;sys/sys/vnode.h:98
vnode;v_mount;w;\(no locks held\);;sys/sys/vnode.h:98
vnode;v_nmntvnodes;r;EMBOTHER\(mount.mnt_mtx\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_nmntvnodes;w;EMBOTHER\(mount.mnt_mtx\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_mountedhere;r;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_mountedhere;w;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_unpcb;r;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_unpcb;w;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_rdev;r;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_rdev;w;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_fifoinfo;r;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_fifoinfo;w;EMBSAME\(vnode.v_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_src.lh_first;r;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_src.lh_first;w;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_dst.tqh_first;r;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_dst.tqh_first;w;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_dst.tqh_last;r;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_dst.tqh_last;w;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_dd;r;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_cache_dd;w;EMBOTHER\(nc_vnodelocks.vnode_lock\[[rw]\]\);;sys/sys/vnode.h:98
vnode;v_vnodelist.tqe_next;r;(EMBOTHER\(mount.mnt_listmtx\[[rw]\]\)|(vnode_list_mtx:)?[0-9]*\(mtx\));;sys/sys/vnode.h:98
vnode;v_vnodelist.tqe_next;w;(EMBOTHER\(mount.mnt_listmtx\[[rw]\]\)|(vnode_list_mtx:)?[0-9]*\(mtx\));;sys/sys/vnode.h:98
vnode;v_vnodelist.tqe_prev;r;(EMBOTHER\(mount.mnt_listmtx\[[rw]\]\)|(vnode_list_mtx:)?[0-9]*\(mtx\));;sys/sys/vnode.h:98
vnode;v_vnodelist.tqe_prev;w;(EMBOTHER\(mount.mnt_listmtx\[[rw]\]\)|(vnode_list_mtx:)?[0-9]*\(mtx\));;sys/sys/vnode.h:98
