datatype;datatype_member
vnode;v_lock
vnode;v_interlock
vnode;v_vnlock
vnode;v_lockf
vnode;v_rl
vnode;v_bufobj.bo_lock
vnode;v_bufobj.bo_domain
vnode;v_bufobj.bo_bsize
vnode;v_bufobj.bo_private
mount;mnt_mtx
mount;mnt_listmtx
mount;mnt_explock
pipepair;pp_mtx
nc_vnodelocks;vnode_lock
buf;b_lock
buf;b_fsprivate1
buf;b_fsprivate2
buf;b_fsprivate3
bufqueue;bq_lock
bufdomain;bd_run_lock
bufdomain;bd_dirtyq.bq_lock
bufdomain;bd_subq.bq_lock
bufdomain;bd_maxbufspace
bufdomain;bd_hibufspace
bufdomain;bd_lobufspace
bufdomain;bd_bufspacethresh
bufdomain;bd_hifreebuffers
bufdomain;bd_lofreebuffers
bufdomain;bd_hidirtybuffers
bufdomain;bd_lodirtybuffers
bufdomain;bd_dirtybufthresh
bufdomain;bd_lim
bufdomain;bd_wanted;
bufdomain;bd_numdirtybuffers
bufdomain;bd_running
bufdomain;bd_bufspace
bufdomain;bd_freebuffers
