datatype;datatype_member;fn;sequence
\N;\N;atomic_read;\N
\N;\N;atomic_set;\N
\N;\N;atomic_add;\N
\N;\N;atomic_sub;\N
\N;\N;atomic_sub_return;\N
\N;\N;atomic_sub_and_test;\N
\N;\N;atomic_inc;\N
\N;\N;atomic_dec;\N
\N;\N;atomic_dec_return;\N
\N;\N;atomic_dec_and_test;\N
\N;\N;atomic_inc;\N
\N;\N;atomic_inc_return;\N
\N;\N;atomic_inc_and_test;\N
\N;\N;atomic_add_negative;\N
\N;\N;atomic_add_return;\N
\N;\N;atomic_sub_return;\N
\N;\N;atomic_fetch_add;\N
\N;\N;atomic_fetch_sub;\N
\N;\N;atomic_cmpxchg;\N
\N;\N;atomic_xchg;\N
\N;\N;atomic_fetch_and;\N
\N;\N;atomic_fetch_or;\N
\N;\N;atomic_fetch_xor;\N
\N;\N;atomic_inc_short;\N
\N;\N;_atomic_dec_and_lock;\N
\N;\N;__atomic_add_unsless;\N
\N;\N;set_bit;\N
\N;\N;__set_bit;\N
\N;\N;clear_bit;\N
\N;\N;clear_bit_unlock;\N
\N;\N;__clear_bit;\N
\N;\N;clear_bit_unlock_is_negative_byte;\N
\N;\N;__clear_bit_unlock;\N
\N;\N;__change_bit;\N
\N;\N;change_bit;\N
\N;\N;test_and_set_bit;\N
\N;\N;test_and_set_bit_lock;\N
\N;\N;__test_and_set_bit;\N
\N;\N;test_and_clear_bit;\N
\N;\N;__test_and_clear_bit;\N
\N;\N;test_and_change_bit;\N
\N;\N;__test_and_change_bit;\N
\N;\N;constant_test_bit;\N
\N;\N;variable_test_bit;\N
\N;\N;mount_fs;\N
\N;\N;__raw_cmpxchg_lock_prefix_b;\N
\N;\N;__raw_cmpxchg_lock_prefix_w;\N
\N;\N;__raw_cmpxchg_lock_prefix_l;\N
\N;\N;__raw_cmpxchg_lock_prefix_q;\N
\N;\N;__raw_cmpxchg_lock_b;\N
\N;\N;__raw_cmpxchg_lock_w;\N
\N;\N;__raw_cmpxchg_lock_l;\N
\N;\N;__raw_cmpxchg_lock_q;\N
\N;\N;__raw_cmpxchg_none_b;\N
\N;\N;__raw_cmpxchg_none_w;\N
\N;\N;__raw_cmpxchg_none_l;\N
\N;\N;__raw_cmpxchg_none_q;\N
\N;\N;kernel_init;\N
inode;\N;alloc_anon_inode;\N
inode;\N;clear_inode;\N
inode;\N;configfs_fill_super;\N
inode;\N;configfs_new_inode;\N
inode;\N;debug_fill_super;\N
inode;\N;devpts_mount;\N
inode;\N;ext4_fill_super;\N
inode;\N;ext4_set_aops;\N
inode;\N;ext4_init_acl;\N
inode;\N;__ext4_iget;0
inode;\N;inode_init_always;\N
inode;\N;inode_init_once;\N
inode;\N;inode_init_owner;\N
inode;\N;kernfs_init_inode;\N
inode;\N;make_empty_dir_inode;\N
inode;\N;debugfs_get_inode;\N
inode;\N;mqueue_get_inode;\N
inode;\N;new_inode_pseudo;\N
inode;\N;proc_get_inode;\N
inode;\N;ramfs_get_inode;\N
inode;\N;shmem_get_inode;\N
inode;\N;simple_fill_super;\N
inode;\N;sock_alloc;\N
inode;\N;shmem_fill_super;\N
inode;\N;hugetlbfs_fill_super;\N
inode;\N;mount_pseudo;\N
inode;\N;proc_pid_instantiate;0
inode;\N;__ext4_new_inode;\N
inode;\N;shmem_evict_inode;\N
inode;\N;shmem_free_inode;\N
inode;\N;ext4_free_inode;\N
inode;\N;destroy_inode;\N
inode;\N;__destroy_inode;\N
inode;\N;proc_setup_self;0
inode;\N;proc_pid_make_inode;\N
inode;\N;init_special_inode;\N
inode;\N;mount_pseudo_xattr;\N
inode;\N;proc_setup_thread_self;\N
inode;\N;debugfs_create_dir;\N
inode;\N;get_pipe_inode;\N
inode;\N;proc_pident_instantiate;\N
inode;\N;cd_forget;0
inode;\N;bd_forget;0
inode;\N;proc_sys_make_inode;\N
inode;\N;proc_fd_instantiate;\N
inode;\N;pid_revalidate;\N
inode;\N;__debugfs_create_file;\N
inode;\N;bdget;0
inode;\N;tracefs_get_inode;\N
inode;\N;tracer_init_tracefs;\N
inode;\N;ovl_get_inode;0
inode;\N;ovl_inode_init;\N
super_block;\N;alloc_super;\N
super_block;\N;ext4_fill_super;\N
super_block;\N;devpts_mount;\N
super_block;\N;configfs_fill_super;\N
super_block;\N;debug_fill_super;\N
