datatype;member;accesstype;rule;comment;origin
journal_t;j_flags;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_flags;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_errno;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_errno;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_barrier_count;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_barrier_count;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_running_transaction;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_running_transaction;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_committing_transaction;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_committing_transaction;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_checkpoint_transactions;r;EMBSAME\(journal_t.j_list_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_checkpoint_transactions;w;EMBSAME\(journal_t.j_list_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_chkpt_bhs;r;EMBSAME\(journal_t.j_checkpoint_mutex\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_chkpt_bhs;w;EMBSAME\(journal_t.j_checkpoint_mutex\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_head;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_head;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_tail;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_tail;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_free;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_free;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_first;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_first;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_last;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_last;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_tail_sequence;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_tail_sequence;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_transaction_sequence;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_transaction_sequence;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_commit_sequence;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_commit_sequence;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_commit_request;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_commit_request;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_revoke;r;EMBSAME\(journal_t.j_revoke_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_revoke;w;EMBSAME\(journal_t.j_revoke_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_revoke_table;r;EMBSAME\(journal_t.j_revoke_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_revoke_table;w;EMBSAME\(journal_t.j_revoke_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_average_commit_time;r;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
journal_t;j_average_commit_time;w;EMBSAME\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:795
transaction_t;t_journal;r;\(no locks held\);;include/linux/jbd2.h:543
transaction_t;t_journal;w;\(no locks held\);;include/linux/jbd2.h:543
transaction_t;t_tid;r;\(no locks held\);;include/linux/jbd2.h:543
transaction_t;t_tid;w;\(no locks held\);;include/linux/jbd2.h:543
transaction_t;t_state;r;EMBOTHER\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:543
transaction_t;t_state;w;EMBOTHER\(journal_t.j_state_lock\[[rw]\]\);;include/linux/jbd2.h:543
transaction_t;t_log_start;r;\(no locks held\);;include/linux/jbd2.h:543
transaction_t;t_log_start;w;\(no locks held\);;include/linux/jbd2.h:543
transaction_t;t_nr_buffers;r;EMBOTHER\(journal_t.j_list_lock\[[rw]\]\);;include/linux/jbd2.h:543
