datatype;datatype_member
inode;i_private
inode;i_fop
inode;i_lock
inode;i_mutex
inode;i_data.i_mmap_mutex
inode;i_data.host
inode;i_data.private_lock
inode;i_data.private_data
inode;i_data.private_list
inode;i_data.tree_lock
journal_t;j_checkpoint_mutex
journal_t;j_list_lock
journal_t;j_revoke_lock
journal_t;j_history_lock
journal_t;j_super_block
journal_t;j_sb_buffer
journal_t;j_format_version
journal_t;j_dev
journal_t;j_blocksize
journal_t;j_blk_offset
journal_t;j_devname
journal_t;j_fs_dev
journal_t;j_maxlen
journal_t;j_inode
journal_t;j_uuid
journal_t;j_proc_entry
journal_t;j_private
transaction_t;t_handle_lock
transaction_t;t_journal
transaction_t;t_private_list
super_block;s_op
super_block;s_umount
super_block;s_vfs_rename_mutex
super_block;s_type
backing_dev_info;wb_lock
backing_dev_info;ra_pages
backing_dev_info;name
backing_dev_info;dev
block_device;bd_mutex
block_device;bd_fsfreeze_mutex
block_device;bd_dev
block_device;bd_inode
block_device;bd_super
block_device;pd_private
pipe_inode_info;mutex
cdev;ops
bdi_writeback;list_lock
bdi_writeback;bdi


