datatype;datatype_member;fn;sequence
\N;\N;atomic_add;\N
\N;\N;atomic_and;\N
\N;\N;atomic_cas;\N
\N;\N;atomic_dec;\N
\N;\N;atomic_inc;\N
\N;\N;atomic_or;\N
\N;\N;atomic_swap;\N
\N;\N;atomic_load;\N
\N;\N;atomic_load_relaxed;\N
vnode_impl;vi_key.vk_key;vcache_reclaim;\N
vnode_impl;vi_key.vk_key;vcache_new;\N
vnode_impl;vi_key.vk_key;vcache_get;\N
vnode_impl;vi_key.vk_key_len;vcache_reclaim;\N
vnode_impl;vi_key.vk_key_len;vcache_new;\N
vnode_impl;vi_key.vk_key_len;vcache_get;\N
vnode_impl;vi_state;vcache_reclaim;\N
vnode_impl;vi_state;vcache_new;\N
vnode_impl;vi_state;vcache_get;\N
vnode_impl;vi_key.vk_mount;vcache_reclaim;\N
vnode_impl;vi_key.vk_mount;vcache_new;\N
vnode_impl;vi_key.vk_mount;vcache_get;\N
vnode_impl;vi_klist;vcache_reclaim;\N
vnode_impl;vi_vnode.v_un.vu_ractx;vcache_reclaim;\N
\N;\N;vrelel;\N
