datatype;member;accesstype;rule;comment;origin
vnode_impl;vi_state;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode_impl.h:71
vnode_impl;vi_state;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode_impl.h:71
vnode_impl;vi_lrulisthd;r;vdrain_lock;;sys/sys/vnode_impl.h:72
vnode_impl;vi_lrulisthd;w;vdrain_lock;;sys/sys/vnode_impl.h:72
vnode_impl;vi_lrulist.tqe_prev;r;vdrain_lock;;sys/sys/vnode_impl.h:73
vnode_impl;vi_lrulist.tqe_prev;w;vdrain_lock;;sys/sys/vnode_impl.h:73
vnode_impl;vi_lrulist.tqe_next;r;vdrain_lock;;sys/sys/vnode_impl.h:73
vnode_impl;vi_lrulist.tqe_next;w;vdrain_lock;;sys/sys/vnode_impl.h:73
vnode_impl;vi_dnclist.lh_first;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode_impl.h:74
vnode_impl;vi_dnclist.lh_first;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode_impl.h:74
vnode_impl;vi_nclist.lh_first;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode_impl.h:75
vnode_impl;vi_nclist.lh_first;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode_impl.h:75
vnode:impl;vi_synclist_slot;r;syncer_data_lock;;sys/sys/vnode_impl.h:76
vnode:impl;vi_synclist_slot;w;syncer_data_lock;;sys/sys/vnode_impl.h:76
vnode_impl;vi_synclist.tqe_prev;r;syncer_data_lock;;sys/sys/vnode_impl.h:77
vnode_impl;vi_synclist.tqe_prev;w;syncer_data_lock;;sys/sys/vnode_impl.h:77
vnode_impl;vi_synclist.tqe_next;r;syncer_data_lock;;sys/sys/vnode_impl.h:77
vnode_impl;vi_synclist.tqe_next;w;syncer_data_lock;;sys/sys/vnode_impl.h:77
vnode_impl;vi_mntvnodes.tqe_prev;r;mntvnode_lock;;sys/sys/vnode_impl.h:78
vnode_impl;vi_mntvnodes.tqe_prev;w;mntvnode_lock;;sys/sys/vnode_impl.h:78
vnode_impl;vi_mntvnodes.tqe_next;r;mntvnode_lock;;sys/sys/vnode_impl.h:78
vnode_impl;vi_mntvnodes.tqe_next;w;mntvnode_lock;;sys/sys/vnode_impl.h:78
vnode_impl;vi_hash.sle_next;r;vcache_lock;;sys/sys/vnode_impl:79
vnode_impl;vi_hash.sle_next;w;vcache_lock;;sys/sys/vnode_impl:79
vcache_key;vk_mount;r;vcache_lock;;sys/sys/vnode_impl.h:53
vcache_key;vk_mount;w;vcache_lock;;sys/sys/vnode_impl.h:53
vcache_key;vk_key;r;vcache_lock;;sys/sys/vnode_impl.h:54
vcache_key;vk_key;w;vcache_lock;;sys/sys/vnode_impl.h:54
vcache_key;vk_key_length;r;vcache_lock;;sys/sys/vnode_impl.h:55
vcache_key;vk_key_length;w;vcache_lock;;sys/sys/vnode_impl.h:55
vnode;v_cv;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:138
vnode;v_cv;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:138
vnode;v_size;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:139
vnode;v_size;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:139
vnode;v_writesize;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:140
vnode;v_writesize;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:140
vnode;v_iflag;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:141
vnode;v_iflag;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:141
vnode;v_vflag;r;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:142
vnode;v_vflag;w;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:142
vnode;v_numoutput;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:144
vnode;v_numoutput;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:144
vnode;v_writecount;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:145
vnode;v_writecount;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:145
vnode;v_holdcnt;r;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:146
vnode;v_holdcnt;w;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:146
vnode;v_mount;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:147
vnode;v_mount;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:147
v_un;vu_mountedhere;r;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:152
v_un;vu_mountedhere;w;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:152
v_un;vu_socket;r;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:153
v_un;vu_socket;w;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:153
v_un;vu_specnode;r;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:154
v_un;vu_specnode;w;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:154
v_un;vu_fifoinfo;r;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:155
v_un;vu_fifoinfo;w;EMBSAME\(vnode_impl.vi_lock\[w\]\);;sys/sys/vnode.h:155
v_un;vu_ractx;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:155
v_un;vu_ractx;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:155
vnode;v_klist;r;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:161
vnode;v_klist;w;EMBOTHER\(kmutex_t.mtxa_owner-s\[w\]\);;sys/sys/vnode.h:161
